passage,sigma,clause,text,structure,unit,unit_type,parataxis,upwards_fill,word_count,max_layer_depth
1,1,1,,"[S, M/O, C, A]",clause,simple,0,sigma,,
1,2,1,,"[S, M/O, C, A]",clause,simple,0,sigma,,
1,3,1,,"[A, S, M/O, C]",clause,matrix,0,sigma,,
1,3,2,,"[I, M, C]",clause,embedded,0,A,,
1,3,3,,"[I, M, C]",clause,embedded,0,C,,
1,4,1,,"[&, S, O, N, M, C]",clause,matrix,0,sigma,,
1,4,2,,"[&, S, X, M, C]",clause,embedded,0,C,,
1,5,1,,"[S, M/O, C, A]",clause,simple,0,sigma,,
1,6,1,,"[A, S, M/O, A]",clause,matrix,0,sigma,,
1,6,2,,"[S, M/O]",clause,embedded,0,cv,,
1,7,1,,"[A, S, M/O, C]",clause,matrix,0,sigma,,
1,7,2,,"[&, S, A/N, M/O, C]",clause,"matrix, embedded",0,C,,
1,7,3,,"[I, M, C]",clause,embedded,0,C,,
1,8,1,,"[S, A, M/O, C]",clause,matrix,0,sigma,,
1,8,2,,"[I, M, C]",clause,embedded,0,C,,
1b,1,1,John was a young man with a simple problem.,"[S, M/O, C, A]",clause,simple,0,sigma,9,3
1b,1,1,John,[h],ngp,simple,0,S,1,1
1b,1,1,a young man,"[qd, m, h]",ngp,simple,0,C,3,1
1b,1,1,a simple problem,"[qd, m, h]",ngp,simple,0,cv,3,1
1b,2,1,He had a minor dispute with his neighbor.,"[S, M/O, C, A]",clause,simple,0,sigma,8,3
1b,2,1,He,[h],ngp,simple,0,S,1,1
1b,2,1,a minor dispute,"[qd, m, h]",ngp,simple,0,C,3,1
1b,2,1,his neighbour,"[dd, h]",ngp,simple,0,cv,2,1
1b,3,1,[A] James sought legal advice.,"[A, S, M/O, C]",clause,matrix,0,sigma,4,2
1b,3,1,James,[h],ngp,simple,0,S,1,1
1b,3,1,legal advice,"[m, h]",ngp,simple,0,C,2,1
1b,3,2,"To solve the problem,","[I, M, C]",clause,embedded,0,A,4,2
1b,3,2,the problem,"[dd, h]",ngp,simple,0,C,2,1
1b,4,1,"At first, John was happy with his lawyer.","[A, S, M/O, C, A]",clause,simple,0,sigma,8,3
1b,4,1,John,[h],ngp,simple,0,S,1,1
1b,4,1,his lawyer,"[dd, h]",ngp,simple,0,cv,2,1
1b,5,1,But the lawyer charged exorbitant fees for every phone call and email.,"[&, S, M/O, C, A]",clause,simple,0,sigma,12,3
1b,5,1,the lawyer,"[dd, h]",ngp,simple,0,S,2,1
1b,5,1,exorbitant fees,"[m, h]",ngp,simple,0,C,2,1
1b,5,1,every phone call,"[qd, m, h]",ngp,matrix,1,cv,3,1
1b,5,1,phone,[h],ngp,embedded,0,m,1,1
1b,5,1,and email,"[&, h]",ngp,simple,2,cv,2,1
1b,6,1,He drained John's finances.,"[S, M/O, C]",clause,simple,0,sigma,4,3
1b,6,1,He,[h],ngp,simple,0,S,1,1
1b,6,1,John's finances,"[dd, h]",ngp,matrix,0,C,2,2
1b,6,1,John,[h],ngp,embedded,0,po,1,1
1b,7,1,As [cv] John's savings bled rapidly.,"[A, S, M/O, A]",clause,matrix,0,sigma,5,3
1b,7,1,John's savings,"[dd, h]",ngp,matrix,0,C,2,2
1b,7,1,John,[h],ngp,embedded,0,po,1,1
1b,7,2,"the legal process continued,","[S, M/O]",clause,embedded,0,cv,4,2
1b,7,2,the legal process,"[dd, m, h]",ngp,simple,0,S,3,1
1b,8,1,"In the end, John realized","[A, S, M/O, C]",clause,matrix,0,sigma,5,3
1b,8,1,the end,"[dd, h]",ngp,simple,0,cv,2,1
1b,8,1,John,[h],ngp,simple,0,S,1,1
1b,8,2,that the lawyer provided no justice for his clients.,"[&, S, M/O, C, A]",clause,embedded,0,C,9,3
